"sample_id","device_timestamp_ns","x_mG","y_mG","z_mG"
"1081","599616093627810304","94","199","-2"
"1082","599616093632810240","130","196","4"
"1083","599616093637810304","184","187","8"
"1084","599616093642810368","206","177","-2"
"1085","599616093647810304","210","160","-9"
"1086","599616093652810240","187","116","-21"
"1087","599616093657810304","132","62","-30"
"1088","599616093662810368","48","3","-21"
"1089","599616093667810304","-21","-22","57"
"1090","599616093672810240","-106","-20","244"
"1091","599616093677810304","-246","5","484"
"1092","599616093682810368","-507","60","735"
"1093","599616093687810304","-941","128","961"
"1094","599616093692810240","-1607","230","1097"
"1095","599616093697810304","-2805","431","1190"
"1096","599616093702810368","-5673","817","1635"
"1097","599616093707810304","-7993","2405","138"
"1098","599616093712810240","-7226","2106","-3692"
"1099","599616093717810304","-3496","726","-353"
"1100","599616093722810368","-1897","-266","657"
"1101","599616093727810304","-2785","-533","771"
"1102","599616093732810240","-4673","-149","16"
"1103","599616093737810304","-5716","375","-607"
"1104","599616093742810368","-4712","525","12"
"1105","599616093747810304","-3572","466","470"
"1106","599616093752810240","-3241","486","329"
"1107","599616093757810304","-3376","625","40"
"1108","599616093762810368","-3426","722","-21"
"1109","599616093767810304","-3106","708","148"
"1110","599616093772810240","-2635","624","416"
"1111","599616093777810304","-2282","517","520"
"1112","599616093782810368","-2037","432","550"
"1113","599616093787810304","-1860","327","574"
"1114","599616093792810240","-1728","226","561"
"1115","599616093797810304","-1625","170","511"
"1116","599616093802810360","-1528","99","456"
"1117","599616093807687296","-1447","71","349"
"1118","599616093812564224","-1309","40","227"
"1119","599616093817441152","-1159","13","128"
"1120","599616093822318080","-999","-8","55"
"1121","599616093827195136","-826","-21","0"
"1122","599616093832072064","-627","-29","-20"
"1123","599616093836948992","-459","-35","-42"
"1124","599616093841825920","-314","-35","-80"
"1125","599616093846702848","-206","-33","-119"
"1126","599616093851579776","-173","-21","-145"
"1127","599616093856456704","-19","3","-218"
"1128","599616093861333760","120","18","-194"
"1129","599616093866210688","294","39","-227"
"1130","599616093871087616","448","63","-226"
"1131","599616093875964544","581","86","-216"
"1132","599616093880841472","727","107","-175"
"1133","599616093885718400","811","139","-134"
"1134","599616093890595328","882","167","-127"
"1135","599616093895472256","941","170","-118"
"1136","599616093900349312","983","179","-106"
"1137","599616093905226240","989","175","-90"
"1138","599616093910103168","949","174","-94"
"1139","599616093914980096","834","170","-103"
"1140","599616093919857024","702","166","-107"
"1141","599616093924733952","553","130","-109"
"1142","599616093929610880","459","89","-105"
"1143","599616093934487936","368","43","-73"
"1144","599616093939364864","269","-7","-66"
"1145","599616093944241792","206","-31","-55"
"1146","599616093949118720","120","-64","-37"
"1147","599616093953995648","45","-95","-19"
"1148","599616093958872576","-6","-132","13"
"1149","599616093963749504","-81","-142","57"
"1150","599616093968626560","-164","-145","76"
"1151","599616093973503488","-251","-141","93"
"1152","599616093978380404","-342","-121","82"
"1153","599616093983258240","-428","-95","47"
"1154","599616093988136064","-486","-58","16"
"1155","599616093993013888","-512","-35","-12"
"1156","599616093997891584","-550","-16","-30"
"1157","599616094002769408","-564","11","-49"
"1158","599616094007647232","-551","38","-62"
"1159","599616094012525056","-514","73","-69"
"1160","599616094017402752","-484","88","-61"
"1161","599616094022280576","-421","99","-51"
"1162","599616094027158400","-350","115","-34"
"1163","599616094032036224","-257","127","-21"
"1164","599616094036913920","-193","136","-11"
"1165","599616094041791744","-100","143","2"
"1166","599616094046669568","-22","141","15"
"1167","599616094051547392","22","148","21"
"1168","599616094056425088","74","142","21"
"1169","599616094061302912","112","138","11"
"1170","599616094066180736","116","123","1"
"1171","599616094071058560","116","102","-11"
"1172","599616094075936384","98","83","-17"
"1173","599616094080814080","25","49","-10"
"1174","599616094085691904","-31","19","45"
"1175","599616094090569728","-111","23","185"
"1176","599616094095447552","-216","37","367"
"1177","599616094100325248","-389","65","531"
"1178","599616094105203072","-619","99","681"
"1179","599616094110080896","-959","169","790"
"1180","599616094114958720","-1404","229","851"
"1181","599616094119836416","-2229","366","980"
"1182","599616094124714240","-4469","847","1007"
"1183","599616094129592064","-7707","1823","760"
"1184","599616094134469888","-7661","2104","-2565"
"1185","599616094139347584","-4646","577","-1127"
"1186","599616094144225408","-2455","-495","-9"
"1187","599616094149103232","-3106","-220","246"
"1188","599616094153980986","-4625","309","-102"
"1189","599616094158857856","-5200","421","-383"
"1190","599616094163734784","-4491","464","414"
"1191","599616094168611712","-3794","461","829"
"1192","599616094173488640","-3675","465","493"
"1193","599616094178365696","-3743","507","86"
"1194","599616094183242624","-3582","527","-27"
"1195","599616094188119552","-3224","476","107"
"1196","599616094192996480","-2826","398","307"
"1197","599616094197873408","-2497","326","396"
"1198","599616094202750336","-2261","267","377"
"1199","599616094207627264","-2056","225","305"
"1200","599616094212504320","-1855","204","287"
"1201","599616094217381248","-1650","185","333"
"1202","599616094222258176","-1490","181","362"
"1203","599616094227135104","-1356","186","361"
"1204","599616094232012032","-1242","178","328"
"1205","599616094236888960","-1128","142","260"
"1206","599616094241765888","-1009","93","219"
"1207","599616094246642816","-879","62","160"
"1208","599616094251519872","-740","14","91"
"1209","599616094256396800","-586","-15","28"
"1210","599616094261273728","-458","-27","-6"
"1211","599616094266150656","-324","-34","-19"
"1212","599616094271027584","-268","-29","-55"
"1213","599616094275904512","-115","-14","-124"
"1214","599616094280781440","21","5","-110"
"1215","599616094285658496","157","48","-127"
"1216","599616094290535424","279","82","-154"
"1217","599616094295412352","404","101","-163"
"1218","599616094300289280","502","135","-175"
"1219","599616094305166208","603","159","-149"
"1220","599616094310043136","702","178","-131"
"1221","599616094314920064","776","183","-125"
"1222","599616094319797120","860","183","-122"
"1223","599616094324674048","897","177","-127"
"1224","599616094329551030","937","158","-133"
"1225","599616094334427136","901","125","-138"
"1226","599616094339303296","856","92","-141"
"1227","599616094344179328","752","67","-137"
"1228","599616094349055488","634","25","-133"
"1229","599616094353931520","514","-9","-114"
"1230","599616094358807680","447","-28","-75"
"1231","599616094363683712","363","-44","-41"
"1232","599616094368559872","273","-74","-20"
"1233","599616094373435904","215","-104","-1"
"1234","599616094378312064","133","-135","19"
"1235","599616094383188096","52","-146","49"
"1236","599616094388064256","-11","-159","68"
"1237","599616094392940288","-94","-161","79"
"1238","599616094397816448","-197","-162","72"
"1239","599616094402692480","-273","-153","55"
"1240","599616094407568640","-370","-148","32"
"1241","599616094412444672","-441","-143","5"
"1242","599616094417320832","-490","-109","-10"
"1243","599616094422196864","-508","-82","-20"
"1244","599616094427073024","-530","-50","-26"
"1245","599616094431949056","-539","-26","-32"
"1246","599616094436825216","-526","1","-38"
"1247","599616094441701376","-500","55","-35"
"1248","599616094446577408","-470","94","-29"
"1249","599616094451453568","-401","134","-22"
"1250","599616094456329600","-309","175","-13"
"1251","599616094461205760","-228","192","1"
"1252","599616094466081792","-143","196","18"
"1253","599616094470957952","-69","202","28"
"1254","599616094475833984","-13","192","36"
"1255","599616094480710144","5","193","20"
