"sample_id","device_timestamp_ns","voltage_uV"
"804","599616093722211968","-149"
"805","599616093729904256","-137"
"806","599616093737596544","-53"
"807","599616093745288832","26"
"808","599616093752981248","67"
"809","599616093760673536","91"
"810","599616093768365824","57"
"811","599616093776058112","-16"
"812","599616093783750400","-33"
"813","599616093791442688","-4"
"814","599616093799135104","-33"
"815","599616093806827392","-84"
"816","599616093814519680","-67"
"817","599616093822211968","-72"
"818","599616093829904256","-142"
"819","599616093837596544","-178"
"820","599616093845288832","-180"
"821","599616093852981248","-176"
"822","599616093860673536","-180"
"823","599616093868365824","-214"
"824","599616093876058112","-231"
"825","599616093883750400","-226"
"826","599616093891442688","-287"
"827","599616093899135104","-371"
"828","599616093906827392","-304"
"829","599616093914519680","-50"
"830","599616093922211968","265"
"831","599616093929904256","398"
"832","599616093937596544","74"
"833","599616093945288832","-383"
"834","599616093952981248","-477"
"835","599616093960673536","-402"
"836","599616093968365824","-388"
"837","599616093976058112","-354"
"838","599616093983750400","-316"
"839","599616093991442688","-306"
"840","599616093999135104","-301"
"841","599616094006827392","-296"
"842","599616094014519680","-277"
"843","599616094022211968","-253"
"844","599616094029904256","-246"
"845","599616094037596544","-219"
"846","599616094045288832","-188"
"847","599616094052981248","-221"
"848","599616094060673536","-258"
"849","599616094068365824","-234"
"850","599616094076058112","-212"
"851","599616094083750400","-171"
"852","599616094091442688","-82"
"853","599616094099135104","-79"
"854","599616094106827392","-147"
"855","599616094114519680","-96"
"856","599616094122211968","0"
"857","599616094129904256","16"
"858","599616094137596544","28"
"859","599616094145288832","69"
"860","599616094152981248","94"
"861","599616094160673536","144"
"862","599616094168365824","221"
"863","599616094176058112","212"
"864","599616094183750400","132"
"865","599616094191442688","72"
"866","599616094199135104","28"
"867","599616094206827392","-21"
"868","599616094214519680","-82"
"869","599616094222211968","-135"
"870","599616094229904256","-164"
"871","599616094237596544","-173"
"872","599616094245288832","-180"
"873","599616094252981248","-193"
"874","599616094260673536","-197"
"875","599616094268365824","-188"
"876","599616094276058096","-202"
"877","599616094283751680","-217"
"878","599616094291445248","-212"
"879","599616094299138688","-226"
"880","599616094306832256","-250"
"881","599616094314525824","-270"
"882","599616094322219392","-284"
"883","599616094329912832","-267"
"884","599616094337606400","-246"
"885","599616094345299968","-250"
"886","599616094352993408","-250"
"887","599616094360686976","-250"
"888","599616094368380544","-275"
"889","599616094376074112","-304"
"890","599616094383767552","-318"
"891","599616094391461120","-304"
"892","599616094399154688","-267"
"893","599616094406848256","-255"
"894","599616094414541696","-260"
"895","599616094422235264","-263"
"896","599616094429928832","-299"
"897","599616094437622272","-342"
"898","599616094445315840","-255"
"899","599616094453009408","-9"
"900","599616094460702976","284"
"901","599616094468396416","419"
"902","599616094476089984","168"
"903","599616094483783552","-224"
"904","599616094491476992","-330"
"905","599616094499170560","-267"
"906","599616094506864128","-255"
"907","599616094514557696","-246"
"908","599616094522251136","-238"
"909","599616094529944704","-236"
"910","599616094537638272","-209"
"911","599616094545331712","-159"
"912","599616094553025280","-118"
"913","599616094560718848","-106"
"914","599616094568412416","-82"
"915","599616094576105856","-14"
"916","599616094583799424","89"
"917","599616094591492992","197"
"918","599616094599186432","236"
"919","599616094606880000","258"
"920","599616094614573568","299"
"921","599616094622267136","248"
"922","599616094629960576","161"
"923","599616094637654144","168"
"924","599616094645347712","176"
"925","599616094653041280","132"
"926","599616094660734720","110"
"927","599616094668428288","84"
"928","599616094676121856","67"
"929","599616094683815296","91"
"930","599616094691508864","72"
"931","599616094699202432","33"
"932","599616094706896000","24"
"933","599616094714589440","-12"
"934","599616094722283008","-62"
"935","599616094729976576","-101"
"936","599616094737670016","-159"
"937","599616094745363584","-190"
"938","599616094753057152","-166"
"939","599616094760750720","-166"
"940","599616094768444160","-183"
"941","599616094776137728","-171"
"942","599616094783831296","-185"
"943","599616094791524736","-217"
"944","599616094799218304","-207"
"945","599616094806911872","-185"
"946","599616094814605440","-200"
"947","599616094822298880","-212"
"948","599616094829992448","-197"
"949","599616094837685936","-183"
"950","599616094845379456","-180"
"951","599616094853073024","-200"
"952","599616094860766464","-209"
"953","599616094868460032","-161"
"954","599616094876153600","-110"
"955","599616094883847168","-144"
"956","599616094891540608","-212"
"957","599616094899234176","-202"
"958","599616094906927744","-156"
"959","599616094914621184","-171"
"960","599616094922314752","-207"
"961","599616094930008320","-200"
"962","599616094937701888","-214"
"963","599616094945395328","-219"
"964","599616094953088896","-193"
"965","599616094960782464","-229"
"966","599616094968476032","-260"
"967","599616094976169472","-253"
"968","599616094983863040","-234"
"969","599616094991556608","50"
"970","599616094999250048","620"
"971","599616095006943616","866"
"972","599616095014637184","528"
"973","599616095022330752","154"
"974","599616095030024192","12"
"975","599616095037717760","-77"
"976","599616095045411328","-137"
"977","599616095053104768","-173"
"978","599616095060798336","-209"
"979","599616095068491904","-197"
"980","599616095076185472","-180"
"981","599616095083878912","-180"
"982","599616095091572480","-166"
"983","599616095099266048","-176"
"984","599616095106959488","-195"
"985","599616095114653056","-166"
"986","599616095122346624","-149"
"987","599616095130040192","-171"
"988","599616095137733632","-154"
"989","599616095145427200","-123"
"990","599616095153120768","-115"
"991","599616095160814208","-103"
"992","599616095168507776","-79"
"993","599616095176201344","-57"
"994","599616095183894912","-53"
"995","599616095191588352","-48"
"996","599616095199281920","-36"
"997","599616095206975488","-28"
"998","599616095214669056","-31"
"999","599616095222362496","-36"
"1000","599616095230056064","-26"
"1001","599616095237749632","-21"
"1002","599616095245443072","-62"
"1003","599616095253136640","-103"
"1004","599616095260830208","-132"
"1005","599616095268523776","-190"
"1006","599616095276217216","-217"
"1007","599616095283910784","-219"
"1008","599616095291604352","-277"
"1009","599616095299297792","-279"
"1010","599616095306991360","-219"
"1011","599616095314684928","-246"
"1012","599616095322378496","-284"
"1013","599616095330071936","-246"
"1014","599616095337765504","-246"
"1015","599616095345459072","-272"
"1016","599616095353152512","-219"
"1017","599616095360846080","-154"
"1018","599616095368539648","-185"
"1019","599616095376233216","-214"
"1020","599616095383926656","-135"
"1021","599616095391620224","-60"
"1022","599616095399313776","-67"
"1023","599616095407007488","-65"
"1024","599616095414701184","9"
"1025","599616095422394880","123"
"1026","599616095430088448","154"
"1027","599616095437782144","74"
"1028","599616095445475840","4"
"1029","599616095453169536","-33"
"1030","599616095460863232","-89"
"1031","599616095468556800","-113"
"1032","599616095476250496","-113"
"1033","599616095483944192","-137"
"1034","599616095491637888","-154"
"1035","599616095499331584","-173"
"1036","599616095507025280","-226"
"1037","599616095514718848","-234"
"1038","599616095522412544","-115"
"1039","599616095530106240","142"
"1040","599616095537799936","427"
"1041","599616095545493632","419"
"1042","599616095553187200","36"
"1043","599616095560880896","-263"
"1044","599616095568574592","-277"
"1045","599616095576268288","-287"
"1046","599616095583961984","-323"
"1047","599616095591655552","-291"
"1048","599616095599349248","-272"
"1049","599616095607042944","-287"
"1050","599616095614736640","-284"
"1051","599616095622430336","-277"
"1052","599616095630123904","-279"
"1053","599616095637817600","-270"
"1054","599616095645511296","-258"
"1055","599616095653204992","-243"
"1056","599616095660898688","-217"
"1057","599616095668592256","-185"
"1058","599616095676285952","-161"
"1059","599616095683979648","-152"
"1060","599616095691673344","-142"
"1061","599616095699367040","-149"
"1062","599616095707060736","-142"
"1063","599616095714754304","-69"
"1064","599616095722448000","-45"
"1065","599616095730141696","-123"
"1066","599616095737835392","-135"
"1067","599616095745529088","-43"
"1068","599616095753222656","-9"
"1069","599616095760916352","-62"
"1070","599616095768610048","-60"
"1071","599616095776303744","-12"
"1072","599616095783997440","-43"
"1073","599616095791691008","-86"
"1074","599616095799384704","-96"
"1075","599616095807078400","-106"
"1076","599616095814772096","-98"
"1077","599616095822465792","-98"
"1078","599616095830159360","-98"
"1079","599616095837853056","-19"
"1080","599616095845546752","132"
"1081","599616095853240448","250"
"1082","599616095860934144","246"
"1083","599616095868627712","152"
"1084","599616095876321408","57"
"1085","599616095884015104","21"
"1086","599616095891708800","-7"
"1087","599616095899402496","-74"
"1088","599616095907096192","-108"
"1089","599616095914789760","-84"
"1090","599616095922483456","-79"
"1091","599616095930177152","-110"
"1092","599616095937870848","-113"
"1093","599616095945564544","-86"
"1094","599616095953258112","-86"
"1095","599616095960951790","-110"
"1096","599616095968645248","-120"
"1097","599616095976338688","-103"
"1098","599616095984032128","-110"
"1099","599616095991725696","-144"
"1100","599616095999419136","-149"
"1101","599616096007112576","-135"
"1102","599616096014806016","-139"
"1103","599616096022499456","-156"
"1104","599616096030192896","-188"
"1105","599616096037886464","-238"
"1106","599616096045579904","-287"
"1107","599616096053273344","-231"
"1108","599616096060966784","7"
"1109","599616096068660224","369"
"1110","599616096076353664","567"
"1111","599616096084047232","296"
"1112","599616096091740672","-159"
"1113","599616096099434112","-308"
"1114","599616096107127552","-250"
"1115","599616096114820992","-238"
"1116","599616096122514432","-236"
"1117","599616096130208000","-231"
"1118","599616096137901440","-238"
"1119","599616096145594880","-205"
"1120","599616096153288320","-176"
"1121","599616096160981760","-207"
"1122","599616096168675328","-224"
"1123","599616096176368768","-178"
"1124","599616096184062208","-147"
"1125","599616096191755648","-154"
"1126","599616096199449088","-149"
"1127","599616096207142528","-127"
"1128","599616096214836096","-106"
"1129","599616096222529536","-62"
"1130","599616096230222976","-33"
"1131","599616096237916416","-28"
"1132","599616096245609856","-4"
"1133","599616096253303296","36"
"1134","599616096260996864","50"
"1135","599616096268690304","96"
"1136","599616096276383744","209"
"1137","599616096284077184","260"
"1138","599616096291770624","202"
"1139","599616096299464192","135"
"1140","599616096307157632","91"
"1141","599616096314851072","33"
"1142","599616096322544512","-38"
"1143","599616096330237952","-113"
"1144","599616096337931392","-149"
"1145","599616096345624960","-152"
"1146","599616096353318400","-193"
"1147","599616096361011840","-234"
"1148","599616096368705280","-219"
"1149","599616096376398720","-209"
"1150","599616096384092160","-226"
"1151","599616096391785728","-229"
"1152","599616096399479168","-229"
"1153","599616096407172608","-241"
"1154","599616096414866048","-243"
"1155","599616096422559488","-238"
"1156","599616096430252928","-219"
"1157","599616096437946496","-212"
"1158","599616096445639936","-231"
"1159","599616096453333376","-246"
"1160","599616096461026816","-238"
"1161","599616096468720256","-226"
"1162","599616096476413824","-183"
"1163","599616096484107264","-142"
"1164","599616096491800704","-154"
"1165","599616096499494144","-173"
"1166","599616096507187584","-171"
"1167","599616096514881024","-178"
"1168","599616096522574544","-200"
"1169","599616096530268032","-205"
"1170","599616096537961472","-180"
"1171","599616096545654912","-166"
"1172","599616096553348480","-180"
"1173","599616096561041920","-183"
"1174","599616096568735360","-209"
"1175","599616096576428800","-275"
"1176","599616096584122240","-284"
"1177","599616096591815680","-96"
"1178","599616096599509248","294"
"1179","599616096607202688","562"
"1180","599616096614896128","383"
"1181","599616096622589568","-9"
"1182","599616096630283008","-202"
"1183","599616096637976448","-263"
"1184","599616096645670016","-255"
"1185","599616096653363456","-139"
"1186","599616096661056896","-115"
"1187","599616096668750336","-154"
"1188","599616096676443776","-57"
"1189","599616096684137216","94"
"1190","599616096691830784","166"
"1191","599616096699524224","139"
"1192","599616096707217664","110"
"1193","599616096714911104","154"
"1194","599616096722604544","159"
"1195","599616096730298112","67"
"1196","599616096737991552","0"
"1197","599616096745684992","-12"
"1198","599616096753378432","-4"
"1199","599616096761071872","4"
"1200","599616096768765312","16"
"1201","599616096776458880","43"
"1202","599616096784152320","41"
"1203","599616096791845760","24"
"1204","599616096799539200","21"
"1205","599616096807232640","24"
"1206","599616096814926080","24"
"1207","599616096822619648","21"
"1208","599616096830313088","19"
"1209","599616096838006528","24"
"1210","599616096845699968","-7"
"1211","599616096853393408","-53"
"1212","599616096861086976","-67"
"1213","599616096868780416","-89"
"1214","599616096876473856","-130"
"1215","599616096884167296","-166"
"1216","599616096891860736","-202"
"1217","599616096899554176","-221"
"1218","599616096907247744","-214"
"1219","599616096914941184","-224"
"1220","599616096922634624","-226"
"1221","599616096930328064","-212"
