"sample_id","received_unix_ms","heart_rate_bpm","rr_intervals_ms"
"29","1789980392279","80","756,691"
"30","1789980392284","80","756,691"
"31","1789980393239","81","673"
"32","1789980393241","81","673"
"33","1789980394214","82","652,646"
"34","1789980394220","82","652,646"
"35","1789980395647","85","634,633"
"36","1789980395655","85","634,633"
"37","1789980396606","89","631,783,439"
"38","1789980396630","89","631,783,439"
"39","1789980397568","91","356,295"
"40","1789980397579","91","356,295"
"41","1789980399007","91",""
"42","1789980399015","91",""
"43","1789980399479","91",""
"44","1789980399484","91",""
"45","1789980400447","91",""
"46","1789980400456","91",""
"47","1789980401446","91",""
"48","1789980401452","91",""
"49","1789980402215","92","688"
"50","1789980402224","92","688"
"51","1789980403219","93","4279,535"
"52","1789980403226","93","4279,535"
"53","1789980404220","94","538,533"
"54","1789980404227","94","538,533"
"55","1789980405212","94","534,531"
"56","1789980405220","94","534,531"
"57","1789980406203","99","528,531"
"58","1789980406210","99","528,531"
"59","1789980407253","104","524,523"
"60","1789980407260","104","524,523"
"61","1789980408214","106","519"
"62","1789980408223","106","519"
"63","1789980409203","109","518,516"
"64","1789980409211","109","518,516"
"65","1789980410224","112","509,512"
"66","1789980410231","112","509,512"
"67","1789980411227","114","511,517"
"68","1789980411230","114","511,517"
"69","1789980412229","115","509,502"
"70","1789980412230","115","509,502"
"71","1789980413222","117","501,496"
"72","1789980413230","117","501,496"
"73","1789980414211","118","501,496,499"
"74","1789980414218","118","501,496,499"
"75","1789980415204","119","496"
"76","1789980415212","119","496"
"77","1789980416223","120","497,492,491"
"78","1789980416231","120","497,492,491"
"79","1789980417208","120","488"
"80","1789980417211","120","488"
"81","1789980418206","122","485,489,486"
"82","1789980418214","122","485,489,486"
"83","1789980419254","122","483,490"
"84","1789980419262","122","483,490"
"85","1789980420212","123","486,485"
"86","1789980420216","123","486,485"
"87","1789980421214","123","482,482"
"88","1789980421218","123","482,482"
"89","1789980422224","124","478,473"
"90","1789980422229","124","478,473"
"91","1789980423214","125","477,477"
"92","1789980423221","125","477,477"
"93","1789980424247","125","475,478"
"94","1789980424250","125","475,478"
"95","1789980425220","125","476,472"
"96","1789980425228","125","476,472"
