"beat_index","hr_sample_id","received_unix_ms","rr_ms"
"1","29","1789980392279","756"
"2","29","1789980392279","691"
"3","30","1789980392284","756"
"4","30","1789980392284","691"
"5","31","1789980393239","673"
"6","32","1789980393241","673"
"7","33","1789980394214","652"
"8","33","1789980394214","646"
"9","34","1789980394220","652"
"10","34","1789980394220","646"
"11","35","1789980395647","634"
"12","35","1789980395647","633"
"13","36","1789980395655","634"
"14","36","1789980395655","633"
"15","37","1789980396606","631"
"16","37","1789980396606","783"
"17","37","1789980396606","439"
"18","38","1789980396630","631"
"19","38","1789980396630","783"
"20","38","1789980396630","439"
"21","39","1789980397568","356"
"22","39","1789980397568","295"
"23","40","1789980397579","356"
"24","40","1789980397579","295"
"25","49","1789980402215","688"
"26","50","1789980402224","688"
"27","51","1789980403219","4279"
"28","51","1789980403219","535"
"29","52","1789980403226","4279"
"30","52","1789980403226","535"
"31","53","1789980404220","538"
"32","53","1789980404220","533"
"33","54","1789980404227","538"
"34","54","1789980404227","533"
"35","55","1789980405212","534"
"36","55","1789980405212","531"
"37","56","1789980405220","534"
"38","56","1789980405220","531"
"39","57","1789980406203","528"
"40","57","1789980406203","531"
"41","58","1789980406210","528"
"42","58","1789980406210","531"
"43","59","1789980407253","524"
"44","59","1789980407253","523"
"45","60","1789980407260","524"
"46","60","1789980407260","523"
"47","61","1789980408214","519"
"48","62","1789980408223","519"
"49","63","1789980409203","518"
"50","63","1789980409203","516"
"51","64","1789980409211","518"
"52","64","1789980409211","516"
"53","65","1789980410224","509"
"54","65","1789980410224","512"
"55","66","1789980410231","509"
"56","66","1789980410231","512"
"57","67","1789980411227","511"
"58","67","1789980411227","517"
"59","68","1789980411230","511"
"60","68","1789980411230","517"
"61","69","1789980412229","509"
"62","69","1789980412229","502"
"63","70","1789980412230","509"
"64","70","1789980412230","502"
"65","71","1789980413222","501"
"66","71","1789980413222","496"
"67","72","1789980413230","501"
"68","72","1789980413230","496"
"69","73","1789980414211","501"
"70","73","1789980414211","496"
"71","73","1789980414211","499"
"72","74","1789980414218","501"
"73","74","1789980414218","496"
"74","74","1789980414218","499"
"75","75","1789980415204","496"
"76","76","1789980415212","496"
"77","77","1789980416223","497"
"78","77","1789980416223","492"
"79","77","1789980416223","491"
"80","78","1789980416231","497"
"81","78","1789980416231","492"
"82","78","1789980416231","491"
"83","79","1789980417208","488"
"84","80","1789980417211","488"
"85","81","1789980418206","485"
"86","81","1789980418206","489"
"87","81","1789980418206","486"
"88","82","1789980418214","485"
"89","82","1789980418214","489"
"90","82","1789980418214","486"
"91","83","1789980419254","483"
"92","83","1789980419254","490"
"93","84","1789980419262","483"
"94","84","1789980419262","490"
"95","85","1789980420212","486"
"96","85","1789980420212","485"
"97","86","1789980420216","486"
"98","86","1789980420216","485"
"99","87","1789980421214","482"
"100","87","1789980421214","482"
"101","88","1789980421218","482"
"102","88","1789980421218","482"
"103","89","1789980422224","478"
"104","89","1789980422224","473"
"105","90","1789980422229","478"
"106","90","1789980422229","473"
"107","91","1789980423214","477"
"108","91","1789980423214","477"
"109","92","1789980423221","477"
"110","92","1789980423221","477"
"111","93","1789980424247","475"
"112","93","1789980424247","478"
"113","94","1789980424250","475"
"114","94","1789980424250","478"
"115","95","1789980425220","476"
"116","95","1789980425220","472"
"117","96","1789980425228","476"
"118","96","1789980425228","472"
"119","97","1789980426212","472"
"120","97","1789980426212","468"
"121","98","1789980426219","472"
"122","98","1789980426219","468"
"123","99","1789980427202","470"
"124","99","1789980427202","463"
"125","99","1789980427202","465"
"126","100","1789980427209","470"
"127","100","1789980427209","463"
"128","100","1789980427209","465"
"129","101","1789980428224","472"
"130","101","1789980428224","461"
"131","102","1789980428231","472"
"132","102","1789980428231","461"
"133","103","1789980429216","469"
"134","103","1789980429216","464"
"135","104","1789980429223","469"
"136","104","1789980429223","464"
"137","105","1789980430201","464"
"138","105","1789980430201","462"
"139","106","1789980430208","464"
"140","106","1789980430208","462"
"141","107","1789980431225","458"
"142","107","1789980431225","459"
"143","108","1789980431232","458"
"144","108","1789980431232","459"
"145","109","1789980432216","459"
"146","109","1789980432216","460"
"147","110","1789980432224","459"
"148","110","1789980432224","460"
"149","111","1789980433204","464"
"150","111","1789980433204","466"
"151","111","1789980433204","464"
"152","112","1789980433211","464"
"153","112","1789980433211","466"
"154","112","1789980433211","464"
"155","113","1789980434223","466"
"156","113","1789980434223","471"
"157","114","1789980434230","466"
"158","114","1789980434230","471"
"159","115","1789980435213","464"
"160","116","1789980435220","464"
"161","117","1789980436234","471"
"162","117","1789980436234","946"
"163","118","1789980436241","471"
"164","118","1789980436241","946"
"165","119","1789980437253","465"
"166","119","1789980437253","467"
"167","120","1789980437260","465"
"168","120","1789980437260","467"
"169","121","1789980438217","468"
"170","121","1789980438217","464"
"171","122","1789980438225","468"
"172","122","1789980438225","464"
"173","123","1789980439202","465"
"174","123","1789980439202","469"
"175","124","1789980439209","465"
"176","124","1789980439209","469"
"177","125","1789980440222","472"
"178","125","1789980440222","485"
"179","126","1789980440229","472"
"180","126","1789980440229","485"
"181","127","1789980441217","493"
"182","127","1789980441217","502"
"183","128","1789980441224","493"
"184","128","1789980441224","502"
"185","129","1789980442203","509"
"186","129","1789980442203","523"
"187","130","1789980442210","509"
"188","130","1789980442210","523"
"189","131","1789980443224","529"
"190","131","1789980443224","534"
"191","132","1789980443231","529"
"192","132","1789980443231","534"
"193","133","1789980444220","533"
"194","133","1789980444220","535"
"195","134","1789980444225","533"
"196","134","1789980444225","535"
"197","135","1789980445203","543"
"198","135","1789980445203","538"
"199","136","1789980445210","543"
"200","136","1789980445210","538"
"201","137","1789980446224","533"
"202","137","1789980446224","529"
"203","138","1789980446230","533"
"204","138","1789980446230","529"
"205","139","1789980447208","525"
"206","140","1789980447211","525"
"207","141","1789980448204","524"
"208","141","1789980448204","526"
"209","142","1789980448211","524"
"210","142","1789980448211","526"
"211","143","1789980449223","536"
"212","143","1789980449223","544"
"213","144","1789980449229","536"
"214","144","1789980449229","544"
"215","145","1789980450213","553"
"216","145","1789980450213","555"
"217","146","1789980450221","553"
"218","146","1789980450221","555"
"219","147","1789980451205","555"
"220","147","1789980451205","556"
"221","148","1789980451212","555"
"222","148","1789980451212","556"
"223","149","1789980452256","559"
"224","150","1789980452263","559"
"225","151","1789980453212","556"
"226","151","1789980453212","556"
"227","152","1789980453218","556"
"228","152","1789980453218","556"
"229","153","1789980454204","556"
"230","153","1789980454204","570"
"231","154","1789980454212","556"
"232","154","1789980454212","570"
"233","155","1789980455225","610"
"234","156","1789980455233","610"
"235","157","1789980456214","612"
"236","157","1789980456214","615"
"237","158","1789980456220","612"
"238","158","1789980456220","615"
"239","159","1789980457262","627"
"240","159","1789980457262","630"
"241","160","1789980457266","627"
"242","160","1789980457266","630"
"243","161","1789980458284","627"
"244","162","1789980458290","627"
"245","163","1789980459210","626"
"246","163","1789980459210","613"
"247","164","1789980459213","626"
"248","164","1789980459213","613"
"249","165","1789980460201","614"
"250","166","1789980460208","614"
"251","167","1789980461227","614"
"252","167","1789980461227","615"
"253","168","1789980461235","614"
"254","168","1789980461235","615"
"255","169","1789980462207","618"
"256","169","1789980462207","611"
